Name,Cost,Cuisine,Featured_in,Hours,Votes,Rating,Location,Type,View_menu,Book_table,Outlets,Delivery,Call
1947,950,2,1,"12noon – 3:15pm, 7pm – 10:15pm (Mon-Sun)",2209,4.1,Jayanagar,1,1,1,4,0,1
8293,300,3, ,12noon – 10:30pm (Mon-Sun),79,4.1,KR Puram, ,1,1, ,0,1
8293,300,3, ,12noon – 10:30pm (Mon-Sun),79,4.1,KR Puram,1,1,1, ,0,1
@ Biryani Central,500,4, ,"12noon – 3:30pm, 7pm – 1am (Mon-Thu),12noon –...",128,2.6,Marathahalli,1,1,1, ,0,1
@99,200,4, ,"11:30am – 3pm, 6:30pm – 11:30pm (Mon-Sun)",37,3.4,Whitefield,1,1,0, ,0,1
@Italy,700,2, ,"12noon – 11pm (Mon-Thu),12noon – 11:30pm (Fri-Sun)",39,3.6,"Krishna Kuteer, HSR",1,1,0, ,0,1
@Italy,700,1, ,11am – 11pm (Mon-Sun),286,4.1,Kumaraswamy Layout,1,1,1, ,0,1
1131 Bar + Kitchen,1300,6,4,11:30am – 1am (Mon-Sun),2365,4.6,Indiranagar,2,1,1, ,0,1
12th Main - Grand Mercure,1500,2, ,"6:30am – 11:30pm (Mon-Fri),6:30am – 12noon, 7pm...",340,4.1,Grand Mercure,1,1,1, ,0,1
1522 - The Pub,1400,6,1,11am – 12:30AM (Mon-Sun),846,4.3,New BEL Road,1,1,0,2,1,1
154 Breakfast Club,800,2,1,"9am – 3pm, 6pm – 9pm (Mon, Wed, Thu, Fri)...",1422,4,Koramangala 3rd Block,1,1,1, ,0,1
1722 UB Cafe,600,4,1,8am – 1am (Mon-Sun),127,4.2,Koramangala 5th Block,1,1,1, ,0,1
1980s Games Cafe,500,2, ,11am – 11pm (Mon-Sun),55,3,Basavanagudi,1,1,1, ,0,1
1992 Chats - Space,200,1, ,10am – 10:30pm (Mon-Sun),16,3.6,Rajajinagar,2,0,0, ,0,1
1Q1,2500,7,3,"12noon – 1am (Mon-Sat),12:30pm – 1am (Sun)",526,4.3,Infantry Road,2,1,1, ,0,1
2 Statez,300,3, ,"11am – 11:30pm (Mon-Thu),7:30am – 11:30pm (Fri-Sun)",198,3.8,Kalyan Nagar,1,1,1, ,0,1
20 Char - Sterlings MAC Hotel,1400,5, ,24 Hours (Mon-Sun),393,4,Sterlings Mac Hotel,1,1,1, ,0,1
